EMPLOYEE_ID,GENDER,AGE,EDUCATION,EDUCATIONFIELD,COUNTRY,JOBROLE,YEARSATCOMPANY,BUSINESSTRAVEL,DEPARTMENT,ENVIRONMENTSATISFACTION,JOBINVOLVEMENT,JOBLEVEL,JOBSATISFACTION,NUMCOMPANIESWORKED,OVERTIME,PERFORMANCERATING,RELATIONSHIPSATISFACTION,TOTALWORKINGYEARS,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSINCURRENTROLE,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,DISTANCEFROMHQ,AGEWHENHIRED,MARITALSTATUS,PERCENTSALARYHIKE,STOCKOPTIONLEVEL,MONTHLYINCOME,DAILYRATE,HOURLYRATE,WORKLIFEBALANCESCORE,LEADERSHIPSCORE,CULTURESCORE,BENEFITS_LEAVESCORE,COMPENSATIONSCORE,HAPPINESSPERCENT,ATTRITION,MONTHLYINCOME_SDBIN
374,F,23,Below College,Medical,United States,Research Scientist,2,Travel_Rarely,Operations,Low,Very High,Junior Associate,High,1,No,Excellent,Very High,2,3,3,2,0,2,6.473,40,Single,18,No Option Plan,3505,116.833333,14.604167,0.804,0.76,0.857,0.757,0.801,0.972806,No,0
375,F,52,Masters,Medical,United States,Research Scientist,4,Non-Travel,Operations,Very High,High,Junior Associate,Very High,0,No,Excellent,Low,5,3,3,3,1,2,3.1762,20,Married,18,Full Option Plan,4258,141.933333,17.741667,0.764,0.705,0.858,0.836,0.705,0.959841,No,0
376,F,26,Some College,Life Sciences,United States,Laboratory Technician,2,Travel_Frequently,Operations,Low,Low,Junior Associate,Very High,3,No,Excellent,Low,5,2,3,2,2,0,5.1594,43,Divorced,14,Full Option Plan,4364,145.466667,18.183333,0.895,0.838,0.889,0.558,0.791,0.979084,No,0
377,F,29,Bachelors,Medical,United States,Healthcare Representative,8,Travel_Rarely,Operations,Medium,High,Associate,High,4,No,Excellent,Low,11,3,2,7,1,1,2.1822,39,Married,12,Full Option Plan,4335,144.5,18.0625,0.824,0.74,0.73,0.761,0.711,0.973506,No,0
378,M,34,Masters,Life Sciences,United States,Research Scientist,4,Travel_Rarely,Operations,Medium,Very High,Junior Associate,Very High,2,No,Excellent,High,10,2,3,2,1,3,11.9696,36,Single,16,No Option Plan,3280,109.333333,13.666667,0.736,0.756,0.827,0.784,0.669,0.963334,No,0
379,M,54,Masters,Medical,United States,Manufacturing Director,5,Travel_Rarely,Research & Development,Very High,High,Associate,Low,9,Yes,Excellent,Medium,9,4,3,3,1,4,1.2379,39,Divorced,11,Large Option Plan,5485,182.833333,22.854167,0.601,0.659,0.8,0.732,0.689,0.373318,No,0
380,F,37,Below College,Life Sciences,United States,Research Scientist,5,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Low,0,Yes,Excellent,Medium,6,3,2,3,4,3,14.9262,34,Divorced,13,Large Option Plan,2782,92.733333,11.591667,0.75,0.709,0.856,0.704,0.702,0.956704,No,0
381,M,38,Masters,Life Sciences,United States,Manufacturing Director,15,Travel_Frequently,Research & Development,Low,Very High,Associate,Low,6,Yes,Excellent,Very High,17,2,3,7,4,12,9.9861,46,Single,12,No Option Plan,5980,199.333333,24.916667,0.8,0.646,0.889,0.823,0.784,0.925894,No,0
382,M,34,Masters,Medical,United States,Research Scientist,6,Travel_Rarely,Research & Development,High,Medium,Junior Associate,Low,1,No,Excellent,High,6,3,3,5,1,3,5.3768,48,Single,11,No Option Plan,4381,146.033333,18.254167,0.713,0.558,0.761,0.816,0.715,0.752432,No,0
383,M,30,Bachelors,Life Sciences,United States,Laboratory Technician,2,Travel_Rarely,Research & Development,Very High,Low,Junior Associate,High,3,No,Outstanding,High,7,2,3,2,0,2,14.4965,37,Married,21,Large Option Plan,3833,127.766667,15.970833,0.754,0.734,0.833,0.829,0.757,0.727208,No,0
384,M,40,Some College,Medical,United States,Healthcare Representative,8,Travel_Frequently,Research & Development,High,Very High,Associate,Medium,1,No,Outstanding,Very High,8,2,3,7,3,7,13.1351,41,Married,24,Full Option Plan,4244,141.466667,17.683333,0.798,0.562,0.708,0.845,0.572,0.914797,No,0
385,M,42,Bachelors,Life Sciences,United States,Manager,24,Travel_Frequently,Research & Development,Medium,High,VP to C-Level,Very High,1,No,Excellent,Medium,24,4,2,7,14,9,14.624,22,Divorced,13,Full Option Plan,18430,614.333333,76.791667,0.833,0.716,0.784,0.841,0.807,0.918306,No,1
386,M,24,Bachelors,Life Sciences,United States,Laboratory Technician,1,Non-Travel,Research & Development,High,Medium,Junior Associate,Medium,1,No,Excellent,High,1,4,3,0,0,0,11.309,28,Divorced,11,Small Option Plan,2694,89.8,11.225,0.776,0.879,0.682,0.815,0.782,0.738385,No,0
387,F,52,Masters,Life Sciences,United States,Laboratory Technician,5,Travel_Rarely,Research & Development,Very High,High,Associate,High,8,No,Outstanding,Medium,9,3,3,2,1,4,7.7381,40,Married,20,Full Option Plan,3149,104.966667,13.120833,0.889,0.777,0.827,0.866,0.704,0.970951,No,0
388,M,50,Bachelors,Medical,United States,Research Director,4,Travel_Rarely,Research & Development,High,High,Executive,High,5,No,Excellent,Very High,30,3,3,3,0,3,19.2795,45,Married,16,No Option Plan,17639,587.966667,73.495833,0.692,0.639,0.909,0.853,0.801,0.981554,No,1
389,M,33,Bachelors,Medical,United States,Research Director,13,Travel_Rarely,Research & Development,High,High,Manager,High,0,No,Excellent,Very High,14,3,4,9,3,7,16.6666,21,Married,11,No Option Plan,11691,389.7,48.7125,0.792,0.676,0.814,0.799,0.752,0.969724,No,1
390,M,47,Some College,Other,United States,Manager,26,Travel_Rarely,Research & Development,High,High,Executive,Very High,1,Yes,Excellent,High,26,3,2,14,3,0,19.4439,39,Married,11,Full Option Plan,16752,558.4,69.8,0.697,0.646,0.889,0.742,0.87,0.873771,No,1
391,F,36,Bachelors,Other,United States,Manufacturing Director,9,Travel_Rarely,Research & Development,High,High,Associate,Medium,0,No,Excellent,Low,10,2,3,7,0,5,10.8459,24,Married,15,Full Option Plan,5228,174.266667,21.783333,0.8,0.573,0.862,0.88,0.704,0.984351,No,0
392,F,29,Some College,Life Sciences,United States,Research Scientist,10,Travel_Rarely,Finance,High,Very High,Junior Associate,High,1,No,Outstanding,High,10,3,3,7,0,7,6.6064,40,Married,24,Full Option Plan,2700,90,11.25,0.798,0.738,0.936,0.805,0.625,0.985641,No,0
393,M,35,Masters,Life Sciences,United States,Research Scientist,2,Travel_Rarely,Finance,Very High,Very High,Junior Associate,High,3,No,Excellent,High,7,0,3,2,2,2,13.3316,22,Single,13,No Option Plan,2506,83.533333,10.441667,0.686,0.753,0.907,0.817,0.792,0.981752,No,0
394,F,42,Some College,Life Sciences,United States,Manufacturing Director,4,Travel_Rarely,Finance,Very High,Medium,Associate,Very High,9,Yes,Excellent,Very High,8,4,3,3,0,2,6.971,30,Married,13,Full Option Plan,6062,202.066667,25.258333,0.782,0.692,0.736,0.723,0.735,0.969018,No,0
395,F,32,Bachelors,Life Sciences,United States,Manufacturing Director,14,Travel_Rarely,Finance,High,Medium,Associate,High,1,No,Excellent,High,14,3,3,13,6,8,10.3612,31,Married,12,Full Option Plan,6162,205.4,25.675,0.785,0.833,0.87,0.773,0.72,0.983836,No,0
396,M,40,Masters,Medical,United States,Laboratory Technician,1,Travel_Frequently,Finance,Low,Medium,Associate,High,6,No,Excellent,Very High,10,6,3,0,0,0,7.7724,46,Single,14,No Option Plan,5094,169.8,21.225,0.583,0.674,0.828,0.825,0.783,0.711054,No,0
397,M,30,Bachelors,Medical,United States,Manufacturing Director,0,Travel_Rarely,Research & Development,High,Medium,Associate,Very High,5,Yes,Outstanding,Medium,12,4,2,0,0,0,16.15,20,Single,24,No Option Plan,6877,229.233333,28.654167,0.592,0.733,0.838,0.769,0.703,0.951233,No,0
398,M,45,Bachelors,Life Sciences,United States,Research Scientist,1,Travel_Rarely,Research & Development,Medium,Medium,Junior Associate,High,1,No,Excellent,Very High,1,3,3,0,0,0,10.7563,41,Single,14,No Option Plan,2274,75.8,9.475,0.83,0.725,0.824,0.832,0.73,0.528002,No,0
399,F,42,Bachelors,Life Sciences,United States,Manufacturing Director,9,Travel_Rarely,Research & Development,Medium,High,Associate,Medium,1,No,Excellent,Very High,10,3,2,8,7,8,4.9743,27,Married,13,Full Option Plan,4434,147.8,18.475,0.841,0.674,0.849,0.904,0.783,0.954874,No,0
400,M,38,Bachelors,Life Sciences,United States,Healthcare Representative,4,Travel_Frequently,Research & Development,Low,Medium,Associate,Low,2,No,Excellent,High,13,3,2,3,1,2,9.588,48,Divorced,15,Full Option Plan,6288,209.6,26.2,0.738,0.766,0.847,0.756,0.633,0.913793,No,0
401,F,34,Masters,Life Sciences,United States,Research Scientist,5,Travel_Frequently,Research & Development,High,Medium,Junior Associate,Very High,1,No,Excellent,High,6,3,3,2,1,3,18.66,41,Single,16,No Option Plan,2553,85.1,10.6375,0.748,0.709,0.892,0.583,0.752,0.943738,No,0
402,M,43,Some College,Life Sciences,United States,Research Director,4,Travel_Rarely,Research & Development,Medium,High,Executive,Low,6,No,Outstanding,High,22,3,3,1,1,0,10.1161,42,Married,24,Full Option Plan,17159,571.966667,71.495833,0.831,0.815,0.899,0.833,0.783,0.912403,No,1
403,F,27,Below College,Technical Degree,United States,Research Director,9,Travel_Rarely,Research & Development,High,Medium,Manager,Very High,1,Yes,Excellent,Medium,9,3,3,8,0,8,11.574,21,Divorced,16,Full Option Plan,12808,426.933333,53.366667,0.797,0.856,0.758,0.718,0.664,0.952075,No,1
404,M,35,Bachelors,Other,United States,Manufacturing Director,8,Travel_Rarely,Research & Development,High,High,Manager,High,3,No,Outstanding,Medium,17,3,4,5,1,6,13.141,22,Single,21,No Option Plan,10221,340.7,42.5875,0.623,0.682,0.774,0.819,0.766,0.979614,No,0
405,M,27,Bachelors,Medical,United States,Research Scientist,0,Non-Travel,Research & Development,Very High,High,Junior Associate,Very High,1,No,Excellent,High,0,6,2,0,0,0,19.8708,41,Married,11,Small Option Plan,1706,56.866667,7.108333,0.742,0.669,0.796,0.717,0.381,0.967399,No,0
406,M,44,Bachelors,Medical,United States,Healthcare Representative,5,Travel_Rarely,Research & Development,Very High,High,Associate,Medium,9,No,Excellent,Very High,10,2,2,2,2,3,9.2,44,Single,12,No Option Plan,5933,197.766667,24.720833,0.752,0.79,0.797,0.562,0.766,0.843322,No,0
407,M,25,Below College,Medical,United States,Research Scientist,4,Travel_Rarely,Finance,Low,Very High,Junior Associate,Low,7,No,Excellent,High,6,3,2,3,0,1,0.5844,24,Single,13,No Option Plan,3424,114.133333,14.266667,0.819,0.61,0.805,0.772,0.744,0.952098,No,0
408,M,35,Below College,Medical,United States,Research Scientist,6,Travel_Rarely,Finance,High,Medium,Junior Associate,Low,1,No,Excellent,Very High,6,3,2,5,1,1,4.8285,27,Single,11,No Option Plan,2559,85.3,10.6625,0.814,0.659,0.697,0.73,0.665,0.965399,No,0
409,F,30,Masters,Life Sciences,United States,Research Scientist,5,Travel_Frequently,Finance,Medium,Medium,Junior Associate,Very High,9,No,Excellent,Medium,10,3,2,4,0,3,10.5592,37,Divorced,12,Full Option Plan,3761,125.366667,15.670833,0.686,0.699,0.81,0.63,0.625,0.974878,No,0
410,M,32,Some College,Medical,United States,Research Scientist,5,Travel_Rarely,Finance,High,Very High,Associate,High,5,No,Excellent,High,9,3,2,3,1,3,18.627,41,Married,12,Full Option Plan,5175,172.5,21.5625,0.782,0.723,0.921,0.808,0.666,0.977341,No,0
411,M,52,Masters,Medical,United States,Manufacturing Director,9,Travel_Frequently,Finance,High,Medium,Executive,Very High,3,No,Outstanding,High,31,3,3,8,0,0,19.9677,31,Married,22,No Option Plan,13826,460.866667,57.608333,0.795,0.696,0.772,0.716,0.725,0.873445,No,1
412,M,22,Some College,Life Sciences,United States,Manufacturing Director,2,Travel_Rarely,Research & Development,Very High,Medium,Associate,Very High,6,No,Outstanding,Low,4,2,1,2,2,2,10.9224,31,Married,22,Large Option Plan,4775,159.166667,19.895833,0.746,0.707,0.819,0.796,0.713,0.789103,No,0
413,M,44,Masters,Life Sciences,United States,Laboratory Technician,3,Travel_Rarely,Research & Development,Low,Very High,Junior Associate,Very High,2,Yes,Outstanding,High,10,2,2,2,0,2,6.3574,48,Married,24,Full Option Plan,2818,93.933333,11.741667,0.715,0.716,0.852,0.756,0.616,0.984321,No,0
414,M,42,Below College,Medical,United States,Research Scientist,2,Travel_Frequently,Information Technology,Medium,High,Junior Associate,Very High,5,Yes,Excellent,Very High,8,2,3,1,2,2,14.309,46,Single,14,No Option Plan,2515,83.833333,10.479167,0.752,0.675,0.911,0.681,0.774,0.938322,No,0
415,M,35,Bachelors,Life Sciences,United States,Manufacturing Director,17,Travel_Rarely,Information Technology,Very High,Medium,Manager,High,1,Yes,Outstanding,Medium,17,2,3,14,5,15,9.0001,41,Married,20,Full Option Plan,10685,356.166667,44.520833,0.811,0.693,0.765,0.63,0.798,0.839346,No,1
416,M,32,Bachelors,Life Sciences,United States,Laboratory Technician,3,Non-Travel,Information Technology,Very High,High,Junior Associate,Very High,0,No,Excellent,Medium,4,2,3,0,0,2,18.664,38,Divorced,12,Full Option Plan,2314,77.133333,9.641667,0.755,0.777,0.747,0.713,0.726,0.724913,No,0
417,F,49,Bachelors,Technical Degree,United States,Research Scientist,4,Travel_Rarely,Information Technology,High,High,Junior Associate,Low,2,No,Excellent,Medium,7,2,3,2,0,2,4.3117,49,Married,16,Full Option Plan,3580,119.333333,14.916667,0.693,0.72,0.818,0.782,0.73,0.572085,No,0
418,F,24,Below College,Life Sciences,United States,Laboratory Technician,5,Non-Travel,Information Technology,Low,Medium,Junior Associate,Very High,0,No,Excellent,Very High,6,2,2,2,3,4,32.9432,32,Married,17,No Option Plan,3162,105.4,13.175,0.747,0.731,0.796,0.873,0.689,0.953095,No,0
419,F,42,Bachelors,Life Sciences,United States,Laboratory Technician,5,Travel_Rarely,Information Technology,High,Very High,Associate,Very High,2,Yes,Excellent,Medium,17,1,2,3,1,3,39.6597,43,Married,13,Full Option Plan,5231,174.366667,21.795833,0.762,0.714,0.873,0.545,0.766,0.900698,No,0
420,M,31,Masters,Life Sciences,United States,Research Scientist,6,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Very High,3,Yes,Excellent,Medium,8,2,3,4,0,2,38.098,44,Married,19,Full Option Plan,2356,78.533333,9.816667,0.782,0.793,0.875,0.652,0.717,0.937305,No,0
421,F,35,Bachelors,Technical Degree,United States,Manufacturing Director,13,Travel_Rarely,Research & Development,Very High,Medium,Manager,Medium,3,No,Excellent,Low,16,2,3,10,4,8,24.1378,33,Married,16,No Option Plan,10903,363.433333,45.429167,0.835,0.763,0.726,0.762,0.775,0.973719,No,1
422,F,53,Masters,Life Sciences,United States,Research Director,12,Travel_Rarely,Research & Development,Very High,High,Executive,Very High,6,No,Excellent,High,33,0,3,9,3,8,4.1676,42,Single,18,No Option Plan,14275,475.833333,59.479167,0.715,0.635,0.791,0.844,0.665,0.506561,No,1
423,M,43,Bachelors,Life Sciences,United States,Healthcare Representative,5,Travel_Frequently,Research & Development,Very High,High,Associate,Very High,4,No,Excellent,Medium,12,2,2,2,2,2,34.5568,46,Married,13,Full Option Plan,5562,185.4,23.175,0.729,0.602,0.831,0.666,0.801,0.487124,No,0
424,M,50,Masters,Life Sciences,United States,Manager,31,Non-Travel,Research & Development,Low,High,Executive,Low,1,No,Excellent,Very High,31,3,3,6,14,7,20.3097,21,Divorced,11,Full Option Plan,17924,597.466667,74.683333,0.707,0.706,0.715,0.781,0.79,0.573335,No,1
425,F,29,Below College,Medical,United States,Laboratory Technician,4,Travel_Rarely,Research & Development,Low,Medium,Junior Associate,Very High,6,No,Excellent,High,8,5,3,3,0,3,32.8959,27,Divorced,14,Small Option Plan,2532,84.4,10.55,0.873,0.6,0.744,0.757,0.724,0.917155,No,0
426,M,44,Some College,Life Sciences,United States,Research Scientist,8,Travel_Rarely,Operations,Medium,High,Junior Associate,Low,1,Yes,Excellent,Very High,8,0,3,7,7,1,27.1787,36,Married,13,No Option Plan,2559,85.3,10.6625,0.57,0.632,0.755,0.816,0.735,0.978803,No,0
427,F,43,Bachelors,Life Sciences,United States,Manufacturing Director,1,Travel_Rarely,Operations,Low,High,Associate,Medium,4,No,Outstanding,High,4,2,4,0,0,0,32.3808,43,Divorced,21,Full Option Plan,4765,158.833333,19.854167,0.767,0.62,0.687,0.841,0.693,0.961439,No,0
428,F,36,Below College,Life Sciences,United States,Healthcare Representative,16,Travel_Rarely,Operations,High,High,Associate,Very High,0,Yes,Excellent,Low,17,2,2,8,4,11,9.6023,19,Married,17,Full Option Plan,6586,219.533333,27.441667,0.733,0.659,0.681,0.686,0.794,0.831962,No,0
429,M,28,Bachelors,Medical,United States,Research Scientist,2,Travel_Rarely,Operations,High,High,Junior Associate,High,5,No,Excellent,Medium,6,2,3,2,2,2,33.375,48,Divorced,18,Full Option Plan,2377,79.233333,9.904167,0.919,0.644,0.798,0.741,0.704,0.973448,No,0
430,F,27,Bachelors,Life Sciences,United States,Research Scientist,1,Travel_Rarely,Operations,Medium,High,Junior Associate,High,1,No,Excellent,High,1,2,3,1,0,0,24.156,23,Single,19,No Option Plan,2318,77.266667,9.658333,0.604,0.568,0.787,0.766,0.634,0.974424,No,0
431,M,34,Bachelors,Life Sciences,United States,Laboratory Technician,1,Travel_Rarely,Operations,Medium,High,Junior Associate,Medium,1,No,Excellent,Medium,1,3,3,0,1,0,13.9769,32,Divorced,14,Large Option Plan,2008,66.933333,8.366667,0.737,0.614,0.9,0.827,0.792,0.51326,No,0
432,M,33,Masters,Other,United States,Research Scientist,3,Travel_Rarely,Operations,High,Medium,Junior Associate,Low,3,Yes,Excellent,Medium,6,1,3,2,0,2,38.8943,21,Single,11,No Option Plan,2799,93.3,11.6625,0.738,0.605,0.801,0.631,0.546,0.962445,No,0
433,F,58,Bachelors,Technical Degree,United States,Healthcare Representative,6,Travel_Rarely,Research & Development,High,Medium,Manager,Medium,2,Yes,Excellent,Very High,24,3,3,0,0,4,16.4955,42,Divorced,13,Full Option Plan,10552,351.733333,43.966667,0.687,0.636,0.754,0.738,0.844,0.978716,No,0
434,M,35,Below College,Life Sciences,United States,Healthcare Representative,10,Travel_Rarely,Research & Development,Very High,High,Associate,Very High,1,Yes,Outstanding,Very High,10,2,1,6,0,7,37.7939,30,Married,25,Full Option Plan,4014,133.8,16.725,0.766,0.666,0.691,0.76,0.605,0.94432,No,0
435,F,49,Some College,Other,United States,Laboratory Technician,26,Travel_Rarely,Research & Development,Low,High,Manager,Medium,4,No,Excellent,High,29,3,2,9,1,7,37.0364,49,Married,11,Full Option Plan,7403,246.766667,30.845833,0.717,0.548,0.771,0.93,0.584,0.982305,No,0
436,M,48,Masters,Medical,United States,Research Scientist,0,Travel_Rarely,Research & Development,Very High,High,Junior Associate,High,4,No,Excellent,Low,13,2,2,0,0,0,35.3402,39,Married,17,Large Option Plan,2259,75.3,9.4125,0.781,0.748,0.794,0.805,0.657,0.558235,No,0
437,M,36,Masters,Other,United States,Research Scientist,6,Travel_Rarely,Research & Development,Medium,High,Junior Associate,Very High,2,No,Excellent,High,8,6,3,2,0,1,0.9345,36,Single,18,No Option Plan,4678,155.933333,19.491667,0.72,0.76,0.834,0.53,0.628,0.511922,No,0
438,F,38,Bachelors,Technical Degree,United States,Research Director,15,Travel_Rarely,Research & Development,Very High,High,Manager,Low,1,No,Excellent,Medium,15,3,3,12,5,11,17.5802,19,Married,13,Full Option Plan,13582,452.733333,56.591667,0.612,0.778,0.711,0.776,0.549,0.822318,No,1
439,F,32,Bachelors,Life Sciences,United States,Laboratory Technician,3,Non-Travel,Research & Development,High,Medium,Junior Associate,Medium,6,No,Outstanding,High,5,3,3,0,0,2,7.3836,28,Married,20,No Option Plan,2332,77.733333,9.716667,0.75,0.75,0.743,0.821,0.589,0.851051,No,0
440,M,41,Bachelors,Medical,United States,Laboratory Technician,18,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Low,2,Yes,Excellent,High,20,3,3,13,2,17,32.0478,22,Single,13,No Option Plan,4721,157.366667,19.670833,0.841,0.705,0.794,0.901,0.596,0.712198,No,0
441,F,36,Masters,Medical,United States,Laboratory Technician,11,Travel_Rarely,Research & Development,High,High,Junior Associate,High,4,No,Outstanding,High,16,6,3,8,3,9,23.0436,37,Single,21,No Option Plan,2519,83.966667,10.495833,0.678,0.768,0.865,0.827,0.674,0.628641,No,0
442,F,31,Bachelors,Medical,United States,Healthcare Representative,9,Travel_Rarely,Research & Development,Very High,High,Associate,Very High,0,Yes,Excellent,High,10,2,1,7,8,5,34.8705,37,Married,11,Large Option Plan,5855,195.166667,24.395833,0.624,0.833,0.766,0.863,0.505,0.923564,No,0
443,M,40,Masters,Medical,United States,Research Scientist,1,Travel_Frequently,Research & Development,Very High,High,Junior Associate,Medium,8,Yes,Excellent,Very High,3,2,3,1,0,0,33.1177,42,Divorced,14,Full Option Plan,3617,120.566667,15.070833,0.783,0.769,0.709,0.71,0.634,0.929637,No,0
444,M,32,Masters,Medical,United States,Manufacturing Director,8,Travel_Rarely,Research & Development,High,High,Associate,Low,1,No,Excellent,High,8,2,4,7,6,3,34.0251,33,Married,12,Full Option Plan,6725,224.166667,28.020833,0.688,0.609,0.808,0.904,0.635,0.498852,No,0
445,M,33,Bachelors,Life Sciences,United States,Healthcare Representative,5,Travel_Rarely,Research & Development,Medium,Medium,Associate,Very High,0,No,Excellent,Low,6,3,3,0,1,4,38.7337,29,Single,14,No Option Plan,6949,231.633333,28.954167,0.76,0.778,0.902,0.613,0.626,0.980824,No,0
446,M,45,Some College,Life Sciences,United States,Laboratory Technician,9,Non-Travel,Research & Development,High,High,Associate,Medium,1,No,Excellent,Medium,9,5,2,7,0,8,35.7335,37,Married,12,No Option Plan,4447,148.233333,18.529167,0.705,0.81,0.804,0.695,0.699,0.974603,No,0
447,F,52,Some College,Life Sciences,United States,Manager,9,Travel_Rarely,Finance,Very High,High,Executive,Very High,2,No,Excellent,Medium,26,2,2,8,7,8,39.9035,46,Married,15,Full Option Plan,17099,569.966667,71.245833,0.827,0.694,0.835,0.791,0.669,0.958069,No,1
448,M,47,Masters,Medical,United States,Manufacturing Director,19,Travel_Frequently,Finance,High,Very High,Associate,High,1,Yes,Excellent,High,20,3,4,10,2,7,38.8291,39,Divorced,19,No Option Plan,5067,168.9,21.1125,0.76,0.797,0.915,0.527,0.651,0.92774,No,0
449,F,33,Below College,Life Sciences,United States,Research Scientist,3,Travel_Rarely,Finance,Medium,High,Junior Associate,Very High,3,No,Excellent,Low,5,4,3,2,0,2,29.3046,26,Single,18,No Option Plan,3452,115.066667,14.383333,0.689,0.805,0.892,0.74,0.704,0.969453,No,0
450,F,45,Masters,Medical,United States,Laboratory Technician,5,Travel_Rarely,Finance,Very High,High,Junior Associate,Very High,3,No,Excellent,Very High,8,2,3,3,0,2,29.2963,32,Divorced,14,Large Option Plan,2270,75.666667,9.458333,0.591,0.862,0.851,0.785,0.794,0.950029,No,0
451,M,50,Some College,Medical,United States,Research Director,5,Travel_Rarely,Finance,Very High,High,Executive,Very High,9,No,Outstanding,High,32,1,2,4,1,3,31.0322,27,Divorced,22,Full Option Plan,17399,579.966667,72.495833,0.74,0.678,0.781,0.829,0.81,0.624996,No,1
452,F,33,Masters,Other,United States,Healthcare Representative,6,Travel_Frequently,Research & Development,High,Very High,Associate,Medium,1,Yes,Excellent,Low,6,2,3,5,1,2,26.4684,49,Married,13,Full Option Plan,5488,182.933333,22.866667,0.661,0.761,0.876,0.783,0.766,0.576703,No,0
453,M,41,Bachelors,Medical,United States,Research Director,18,Travel_Frequently,Information Technology,Low,High,VP to C-Level,High,2,No,Excellent,Medium,21,2,4,16,0,11,39.4921,30,Divorced,17,Full Option Plan,19419,647.3,80.9125,0.808,0.659,0.593,0.825,0.757,0.982901,No,1
454,M,27,Masters,Technical Degree,United States,Laboratory Technician,2,Travel_Rarely,Information Technology,High,High,Junior Associate,Medium,9,No,Excellent,Medium,4,2,3,2,2,2,31.1757,30,Married,14,Full Option Plan,2811,93.7,11.7125,0.733,0.796,0.841,0.704,0.844,0.555969,No,0
455,M,45,Some College,Life Sciences,United States,Laboratory Technician,9,Non-Travel,Information Technology,Very High,High,Associate,Low,1,Yes,Excellent,High,9,2,3,8,0,8,35.2802,42,Married,15,Full Option Plan,3633,121.1,15.1375,0.848,0.869,0.815,0.712,0.756,0.955822,No,0
456,F,50,Bachelors,Life Sciences,United States,Manufacturing Director,12,Travel_Rarely,Information Technology,Very High,High,Executive,High,3,Yes,Excellent,Very High,22,2,3,11,1,5,38.7563,41,Married,18,Full Option Plan,13973,465.766667,58.220833,0.851,0.721,0.766,0.782,0.783,0.984408,No,1
457,M,38,Below College,Medical,United States,Research Scientist,2,Travel_Frequently,Information Technology,High,High,Junior Associate,High,0,No,Excellent,Medium,3,0,2,1,0,2,18.0742,30,Married,17,Full Option Plan,2684,89.466667,11.183333,0.798,0.728,0.876,0.536,0.695,0.981456,No,0
458,F,46,Some College,Medical,United States,Manufacturing Director,8,Travel_Rarely,Information Technology,Very High,High,Manager,High,6,No,Excellent,Medium,13,3,3,7,0,7,37.015,23,Divorced,13,Full Option Plan,10845,361.5,45.1875,0.734,0.769,0.593,0.774,0.73,0.877628,No,1
459,M,24,Below College,Medical,United States,Manufacturing Director,4,Travel_Rarely,Research & Development,Very High,Medium,Associate,High,1,No,Excellent,Medium,5,6,3,2,3,2,28.4619,23,Divorced,15,Large Option Plan,4377,145.9,18.2375,0.553,0.757,0.813,0.755,0.817,0.823686,No,0
460,M,31,Below College,Life Sciences,United States,Manufacturing Director,4,Travel_Frequently,Research & Development,High,High,Associate,Low,1,No,Excellent,High,4,1,3,3,0,3,34.2888,28,Married,12,Full Option Plan,4148,138.266667,17.283333,0.724,0.772,0.781,0.775,0.778,0.938269,No,0
461,M,18,Some College,Life Sciences,United States,Research Scientist,0,Non-Travel,Research & Development,Medium,High,Junior Associate,Very High,1,No,Excellent,Very High,0,2,3,0,0,0,34.4302,19,Single,15,No Option Plan,1051,35.033333,4.379167,0.807,0.706,0.846,0.863,0.796,0.781894,No,-1
462,F,54,Bachelors,Technical Degree,United States,Manufacturing Director,10,Travel_Rarely,Research & Development,High,High,Manager,High,8,No,Excellent,High,22,2,3,7,0,8,15.172,36,Married,11,Full Option Plan,10739,357.966667,44.745833,0.817,0.815,0.662,0.628,0.814,0.951077,No,1
463,M,35,Masters,Medical,United States,Healthcare Representative,16,Travel_Rarely,Marketing,High,High,Manager,High,1,Yes,Excellent,High,16,3,2,10,10,1,34.0136,48,Divorced,11,Full Option Plan,10388,346.266667,43.283333,0.833,0.769,0.819,0.712,0.73,0.955946,No,0
464,F,30,Some College,Life Sciences,United States,Research Director,8,Travel_Rarely,Marketing,Medium,Very High,Manager,Low,0,Yes,Excellent,High,9,4,2,7,1,7,36.8047,42,Married,12,Small Option Plan,11416,380.533333,47.566667,0.865,0.627,0.688,0.763,0.757,0.915687,No,1
465,F,26,Some College,Medical,United States,Manufacturing Director,8,Travel_Rarely,Marketing,Very High,Very High,Associate,Very High,1,No,Excellent,Medium,8,2,3,7,1,3,58.3353,41,Married,12,No Option Plan,5472,182.4,22.8,0.797,0.631,0.61,0.723,0.783,0.950793,No,0
466,M,22,Below College,Life Sciences,United States,Laboratory Technician,4,Travel_Rarely,Marketing,Medium,Low,Junior Associate,Low,1,No,Excellent,Low,4,3,2,3,1,1,59.2595,24,Married,15,Full Option Plan,2451,81.7,10.2125,0.79,0.778,0.742,0.678,0.78,0.941362,No,0
